Nivel_Ramificacion_n,Delta_F_Calculado,Tipo_Evento
0,0.921,SEMILLA PURA
1,0.92095395,RAMA SECUNDARIA
2,0.9209079023025001,RAMA SECUNDARIA
3,0.920861856907385,RAMA SECUNDARIA
4,0.9208158138145396,RAMA SECUNDARIA
5,0.9207697730238489,RAMA SECUNDARIA
6,0.9207237345351976,RAMA SECUNDARIA
7,0.9206776983484709,RAMA SECUNDARIA
8,0.9206316644635535,RAMA SECUNDARIA
9,0.9205856328803302,RAMA SECUNDARIA
10,0.9205396035986863,RAMA SECUNDARIA
11,0.9204935766185064,RAMA SECUNDARIA
12,0.9204475519396754,RAMA SECUNDARIA
13,0.9204015295620785,RAMA SECUNDARIA
14,0.9203555094856003,RAMA SECUNDARIA
15,0.9203094917101261,RAMA SECUNDARIA
16,0.9202634762355406,RAMA SECUNDARIA
17,0.9202174630617289,RAMA SECUNDARIA
18,0.9201714521885758,RAMA SECUNDARIA
19,0.9201254436159664,RAMA SECUNDARIA
